page,pii_type,category,redacted_text,detection_method,timestamp
1,HONORIFIC_NAME,Personal Name,Mr. Hamza Tariq Siddiqui,regex,2026-03-13T02:26:14
1,HONORIFIC_NAME,Personal Name,Mr. Hamza Tariq Siddiqui,regex,2026-03-13T02:26:14
1,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
1,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
1,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
1,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
1,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
1,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:14
1,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:14
1,NATIONAL_ID,Government ID,CNIC No. 35202-8871234-5,regex,2026-03-13T02:26:14
1,ORGANIZATION,Organization,Case File,spacy,2026-03-13T02:26:14
1,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
1,ORGANIZATION,Organization,"the Honourable
Lahore High Court",spacy,2026-03-13T02:26:14
1,ORGANIZATION,Organization,"the Honourable
Lahore High Court",spacy,2026-03-13T02:26:14
1,ORGANIZATION,Organization,Al-Noor Legal Consultants,spacy,2026-03-13T02:26:14
1,ORGANIZATION,Organization,Al-Noor Legal Consultants,spacy,2026-03-13T02:26:14
1,LEGAL_REF,Legal Reference,the Companies Act 2017,spacy,2026-03-13T02:26:14
1,LEGAL_REF,Legal Reference,the Companies Act 2017,spacy,2026-03-13T02:26:14
1,LEGAL_REF,Legal Reference,the Companies Act 2017,spacy,2026-03-13T02:26:14
1,LEGAL_REF,Legal Reference,the Companies Act 2017,spacy,2026-03-13T02:26:14
1,ZIP_CODE,Address,00234,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,00234,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,54000,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,54000,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,54000,regex,2026-03-13T02:26:14
3,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
3,CONFIDENTIAL_CLAUSE,Confidential Clause,WORK PRODUCT,regex,2026-03-13T02:26:14
3,CASE_NUMBER,Case / Legal ID,CV-2024-,regex,2026-03-13T02:26:14
3,ZIP_CODE,Address,04471,regex,2026-03-13T02:26:14
3,DATE,Temporal,"March 15, 2024",spacy,2026-03-13T02:26:14
3,ORGANIZATION,Organization,the Lahore High Court,spacy,2026-03-13T02:26:14
3,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
3,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
3,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
3,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
3,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:14
3,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
1",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
1",regex,2026-03-13T02:26:14
3,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
3,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
2",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
2",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
3",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
3",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
3",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
3",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
4",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
4",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
5",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
5",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
3",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
3",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
3",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"rs
3",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"PKR 450,000",regex,2026-03-13T02:26:14
3,LEGAL_REF,Legal Reference,Section 2,spacy,2026-03-13T02:26:14
3,SIGNATURE,Signature,"initial retainer of PKR 150,000 (USD 536.00 equivalent) sha",regex,2026-03-13T02:26:14
3,LOCATION,Address,Client,spacy,2026-03-13T02:26:14
3,LOCATION,Address,Client,spacy,2026-03-13T02:26:14
3,LOCATION,Address,Client,spacy,2026-03-13T02:26:14
3,LOCATION,Address,Client,spacy,2026-03-13T02:26:14
3,CONTRACT_NUM,Case / Legal ID,Agreement. The,regex,2026-03-13T02:26:14
3,ORGANIZATION,Organization,"PKR 300,000",spacy,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"PKR 150,000",regex,2026-03-13T02:26:14
3,CURRENCY_AMOUNT,Financial,"PKR 150,000",regex,2026-03-13T02:26:14
3,DATE,Temporal,"May 1, 2024 and July 1, 2024",spacy,2026-03-13T02:26:14
3,ORGANIZATION,Organization,"Meezan Bank Limited
Account",spacy,2026-03-13T02:26:14
3,ORGANIZATION,Organization,"Meezan Bank Limited
Account",spacy,2026-03-13T02:26:14
3,ORGANIZATION,Organization,Al-Noor Legal Consultants (Pvt.),spacy,2026-03-13T02:26:14
3,CASE_NUMBER,Case / Legal ID,No.: 0169-,regex,2026-03-13T02:26:14
3,PHONE,Contact Information,0105678903,regex,2026-03-13T02:26:14
3,PHONE,Contact Information,0105678903,regex,2026-03-13T02:26:14
3,IBAN,Financial,PK36MEZN0001690105678903,regex,2026-03-13T02:26:14
3,DATE,Temporal,0169,spacy,2026-03-13T02:26:14
3,DATE,Temporal,0169,spacy,2026-03-13T02:26:14
3,DATE,Temporal,0169,spacy,2026-03-13T02:26:14
3,ORGANIZATION,Organization,Gulberg Branch,spacy,2026-03-13T02:26:14
3,ORGANIZATION,Organization,"PKR 50,000",spacy,2026-03-13T02:26:14
3,ORGANIZATION,Organization,the Anti-Money Laundering Act 2010,spacy,2026-03-13T02:26:14
3,ORGANIZATION,Organization,FBR,spacy,2026-03-13T02:26:14
3,TAX_ID,Financial,"GST
Registration",regex,2026-03-13T02:26:14
3,TAX_ID,Financial,"GST
Registration",regex,2026-03-13T02:26:14
3,DATE,Temporal,32-00-9987-001-17,spacy,2026-03-13T02:26:14
3,ORGANIZATION,Organization,WITNESS,spacy,2026-03-13T02:26:14
3,ORGANIZATION,Organization,WITNESS,spacy,2026-03-13T02:26:14
3,HONORIFIC_NAME,Personal Name,Mrs. Fatima Zainab Chaudhry,regex,2026-03-13T02:26:14
3,NATIONAL_ID,Government ID,CNIC: 35201-6643217-8,regex,2026-03-13T02:26:14
3,LEGAL_REF,Legal Reference,Phase 5,spacy,2026-03-13T02:26:14
3,PHONE,Contact Information,+92-333-5001234,regex,2026-03-13T02:26:14
3,EMAIL,Contact Information,fatima.chaudhry@hotmail.com,regex,2026-03-13T02:26:14
4,HONORIFIC_NAME,Personal Name,Mr. Usman Ali Qureshi,regex,2026-03-13T02:26:14
4,NATIONAL_ID,Government ID,CNIC: 35202-9912345-1,regex,2026-03-13T02:26:14
4,ORGANIZATION,Organization,Block C,spacy,2026-03-13T02:26:14
4,PERSON,Personal Name,Bahria Town,spacy,2026-03-13T02:26:14
4,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
4,DATE,Temporal,54810,spacy,2026-03-13T02:26:14
4,PHONE,Contact Information,042-35119988,regex,2026-03-13T02:26:14
4,EMAIL,Contact Information,usman.qureshi@yahoo.com,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,PRIVILEGED,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,ATTORNEY-CLIENT,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,ATTORNEY-CLIENT,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,TRADE SECRET,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,Case File,spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,Case File,spacy,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
5,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
5,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
5,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,STRICTLY,spacy,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,attorney-client,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,attorney-client,regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,Opposing Party Information,spacy,2026-03-13T02:26:14
5,HONORIFIC_NAME,Personal Name,Mr. Bilal Ahmed Rana,regex,2026-03-13T02:26:14
5,NATIONAL_ID,Government ID,CNIC: 35302-7734521-3,regex,2026-03-13T02:26:14
5,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
5,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
5,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
5,ZIP_CODE,Address,54700,regex,2026-03-13T02:26:14
5,PHONE,Contact Information,+92-300-4445566,regex,2026-03-13T02:26:14
5,EMAIL,Contact Information,bilal.rana.defendant@gmail.com,regex,2026-03-13T02:26:14
5,HONORIFIC_NAME,Personal Name,Mr. Sohail Akhtar,regex,2026-03-13T02:26:14
5,HONORIFIC_NAME,Personal Name,"Advocate
Bar No",regex,2026-03-13T02:26:14
5,HONORIFIC_NAME,Personal Name,"Advocate
Bar No",regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,PBC-LHR-2005-0887,spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,Counsel Address,spacy,2026-03-13T02:26:14
5,ADDRESS_STREET,Address,22 Mcleod Road,regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,BCA-2023-LHR-005,spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,BCA-2023-LHR-005,spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,BCA-2023-LHR-005,spacy,2026-03-13T02:26:14
5,DATE,Temporal,"January 12, 2023",spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,"PKR 1,200,000",spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,"PKR 1,200,000",spacy,2026-03-13T02:26:14
5,CURRENCY_AMOUNT,Financial,"USD 4,285.71",regex,2026-03-13T02:26:14
5,CURRENCY_AMOUNT,Financial,"USD 4,285.71",regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,"PKR 800,000",spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,"PKR 800,000",spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,"PKR 800,000",spacy,2026-03-13T02:26:14
5,DATE,Temporal,"February 3, 2023",spacy,2026-03-13T02:26:14
5,DATE,Temporal,"February 3, 2023",spacy,2026-03-13T02:26:14
5,DATE,Temporal,"February 3, 2023",spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,Account No,spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,Account No,spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,Account No,spacy,2026-03-13T02:26:14
5,DATE,Temporal,0169-0105678903,spacy,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,No. 0341-,regex,2026-03-13T02:26:14
5,PHONE,Contact Information,0287654321,regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,Allied Bank Ltd.,spacy,2026-03-13T02:26:14
5,PERSON,Personal Name,"Model Town
Branch",spacy,2026-03-13T02:26:14
5,PERSON,Personal Name,"Model Town
Branch",spacy,2026-03-13T02:26:14
5,PERSON,Personal Name,Lahore,spacy,2026-03-13T02:26:14
5,PERSON,Personal Name,Lahore,spacy,2026-03-13T02:26:14
5,PERSON,Personal Name,Lahore,spacy,2026-03-13T02:26:14
5,TAX_ID,Financial,Tax Identification,regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,NTN,spacy,2026-03-13T02:26:14
5,DATE,Temporal,9871234-5,spacy,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,"Reference
12 ",regex,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,"Reference
12 ",regex,2026-03-13T02:26:14
5,CONTRACT_NUM,Case / Legal ID,Contract BCA,regex,2026-03-13T02:26:14
5,DATE,Temporal,03 Feb 2023,regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,"PKR 800,000",spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,"PKR 800,000",spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,"PKR 800,000",spacy,2026-03-13T02:26:14
5,PERSON,Personal Name,Wire Ref,spacy,2026-03-13T02:26:14
5,PHONE,Contact Information,20230203-8871,regex,2026-03-13T02:26:14
5,DATE,Temporal,15 Apr 2023,regex,2026-03-13T02:26:14
5,DATE,Temporal,22 Apr 2023,regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,LN-2023-0094,spacy,2026-03-13T02:26:14
5,DATE,Temporal,10 May 2023,regex,2026-03-13T02:26:14
5,PERSON,Personal Name,Letter Ref,spacy,2026-03-13T02:26:14
5,DATE,Temporal,15 Mar 2024,regex,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
5,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
5,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
5,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
5,CASE_NUMBER,Case / Legal ID,CR-2024-,regex,2026-03-13T02:26:14
5,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
5,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
5,ZIP_CODE,Address,00451,regex,2026-03-13T02:26:14
5,ORGANIZATION,Organization,CONFIDENTIALITY,spacy,2026-03-13T02:26:14
5,ORGANIZATION,Organization,PROPRIETARY,spacy,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
5,CONTRACT_NUM,Case / Legal ID,"Agreement
for",regex,2026-03-13T02:26:14
5,CONTRACT_NUM,Case / Legal ID,"Agreement
for",regex,2026-03-13T02:26:14
5,DATE,Temporal,5) years,spacy,2026-03-13T02:26:14
6,PERSON,Personal Name,JURISDICTION,spacy,2026-03-13T02:26:14
6,PERSON,Personal Name,JURISDICTION,spacy,2026-03-13T02:26:14
6,CONTRACT_NUM,Case / Legal ID,Agreement shall,regex,2026-03-13T02:26:14
6,CONTRACT_NUM,Case / Legal ID,Agreement shall,regex,2026-03-13T02:26:14
6,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:14
6,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:14
6,CONTRACT_NUM,Case / Legal ID,Agreement shall,regex,2026-03-13T02:26:14
6,CONTRACT_NUM,Case / Legal ID,Agreement shall,regex,2026-03-13T02:26:14
6,LOCATION,Address,Lahore,spacy,2026-03-13T02:26:14
6,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:14
6,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:14
6,PERSON,Personal Name,Reference Case,spacy,2026-03-13T02:26:14
6,ORGANIZATION,Organization,ADM-2024-LHR-00112,spacy,2026-03-13T02:26:14
7,ORGANIZATION,Organization,this Professional Services Agreement,spacy,2026-03-13T02:26:15
7,DATE,Temporal,"15th March, 2024",spacy,2026-03-13T02:26:15
7,SIGNATURE,Signature,Signed by: Mr. Hamza Tariq Siddiqui,regex,2026-03-13T02:26:15
7,SIGNATURE,Signature,Signed by: Dr. Ayesha Rehman Malik,regex,2026-03-13T02:26:15
7,NATIONAL_ID,Government ID,CNIC: 35202-8871234-5,regex,2026-03-13T02:26:15
7,ORGANIZATION,Organization,PBC No,spacy,2026-03-13T02:26:15
7,ORGANIZATION,Organization,PBC-LHR-2009-1145,spacy,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:15
7,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:15
7,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:15
7,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:15
7,HONORIFIC_NAME,Personal Name,Mrs. Fatima Zainab Chaudhry,regex,2026-03-13T02:26:15
7,HONORIFIC_NAME,Personal Name,Mr. Usman Ali Qureshi,regex,2026-03-13T02:26:15
7,NATIONAL_ID,Government ID,CNIC: 35201-6643217-8,regex,2026-03-13T02:26:15
7,NATIONAL_ID,Government ID,CNIC: 35202-9912345-1,regex,2026-03-13T02:26:15
7,PHONE,Contact Information,+92-333-5001234,regex,2026-03-13T02:26:15
7,PHONE,Contact Information,042-35119988,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,DATE,Temporal,15/03/2024,regex,2026-03-13T02:26:15
7,NATIONAL_ID,Government ID,IDENTIFICATION,regex,2026-03-13T02:26:15
7,ORGANIZATION,Organization,KYC,spacy,2026-03-13T02:26:15
7,LEGAL_REF,Legal Reference,the Anti-Money Laundering Act,spacy,2026-03-13T02:26:15
7,DATE,Temporal,2010,spacy,2026-03-13T02:26:15
7,HONORIFIC_NAME,Personal Name,Mr. Hamza Tariq Siddiqui,regex,2026-03-13T02:26:15
7,HONORIFIC_NAME,Personal Name,Mr. Hamza Tariq Siddiqui,regex,2026-03-13T02:26:15
7,HONORIFIC_NAME,Personal Name,Mr. Tariq Mehmood Siddiqui,regex,2026-03-13T02:26:15
7,DATE,Temporal,14 March 1988,spacy,2026-03-13T02:26:15
7,NATIONAL_ID,Government ID,"CNIC Number
35202-8871234-5",regex,2026-03-13T02:26:15
7,NATIONAL_ID,Government ID,"CNIC Number
35202-8871234-5",regex,2026-03-13T02:26:15
7,NATIONAL_ID,Government ID,"Passport Number
AP5672341",regex,2026-03-13T02:26:15
7,NATIONAL_ID,Government ID,"Passport Number
AP5672341",regex,2026-03-13T02:26:15
7,TAX_ID,Financial,"NTN
2345678-9",regex,2026-03-13T02:26:15
7,TAX_ID,Financial,"NTN
2345678-9",regex,2026-03-13T02:26:15
8,ORGANIZATION,Organization,Residential Address,spacy,2026-03-13T02:26:15
8,CASE_NUMBER,Case / Legal ID,No. 47-,regex,2026-03-13T02:26:15
8,PERSON,Personal Name,Gulberg III,spacy,2026-03-13T02:26:15
8,ZIP_CODE,Address,54000,regex,2026-03-13T02:26:15
8,PHONE,Contact Information,+92-300-8871234,regex,2026-03-13T02:26:15
8,EMAIL,Contact Information,hamza.siddiqui@gmail.com,regex,2026-03-13T02:26:15
8,ORGANIZATION,Organization,Meezan Bank,spacy,2026-03-13T02:26:15
8,CASE_NUMBER,Case / Legal ID,No. 0169-,regex,2026-03-13T02:26:15
8,PHONE,Contact Information,0105678903,regex,2026-03-13T02:26:15
8,PHONE,Contact Information,0105678903,regex,2026-03-13T02:26:15
8,IBAN,Financial,PK36MEZN0001690105678903,regex,2026-03-13T02:26:15
8,DATE,Temporal,Monthly,spacy,2026-03-13T02:26:15
8,CURRENCY_AMOUNT,Financial,"PKR 350,000",regex,2026-03-13T02:26:15
8,IP_ADDRESS,Technical Identifier,192.168.1.104,regex,2026-03-13T02:26:15
